time,perc_of_seen_events
6.049639791000001,33.333333333333336
7.755578191999998,50.0
6.585260381000001,38.095238095238095
7.327555705000002,50.0
6.269443222,35.714285714285715
6.925684642,47.61904761904762
6.833765663000001,42.857142857142854
7.357823180000004,42.857142857142854
7.8022101879999965,35.714285714285715
7.887879238000011,42.857142857142854
6.752051315999992,40.476190476190474
7.66748165300001,38.095238095238095
6.576554216000005,42.857142857142854
6.563753897999987,30.952380952380953
6.889992589000002,40.476190476190474
7.870101984999991,52.38095238095238
11.448715988000018,45.23809523809524
